"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","128.9","","","","1"
"2016-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.3","","","","1"
"2017-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.1","","","","1"
"2017-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.9","","","","1"
"2017-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.7","","","","1"
"2017-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.1","","","","1"
"2017-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.9","","","","1"
"2017-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","129.9","","","","1"
"2017-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.1","","","","1"
"2017-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.4","","","","1"
"2017-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.7","","","","1"
"2017-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","130.9","","","","1"
"2017-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","131.7","","","","1"
"2017-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","131.8","","","","1"
"2018-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","132.3","","","","1"
"2018-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","132.6","","","","1"
"2018-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","132.7","","","","1"
"2018-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","132.8","","","","1"
"2018-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","132.9","","","","1"
"2018-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","133.1","","","","1"
"2018-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","133.7","","","","1"
"2018-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","133.9","","","","1"
"2018-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","133.8","","","","1"
"2018-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","134.2","","","","1"
"2018-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","134.0","","","","1"
"2018-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","134.3","","","","1"
"2019-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","134.3","","","","1"
"2019-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","134.7","","","","1"
"2019-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","135.2","","","","1"
"2019-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","135.6","","","","1"
"2019-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.0","","","","1"
"2019-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","135.9","","","","1"
"2019-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.4","","","","1"
"2019-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.4","","","","1"
"2019-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.3","","","","1"
"2019-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.7","","","","1"
"2019-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.8","","","","1"
"2019-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","137.3","","","","1"
"2020-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","137.5","","","","1"
"2020-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","137.7","","","","1"
"2020-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.3","","","","1"
"2020-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","135.6","","","","1"
"2020-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","135.4","","","","1"
"2020-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.5","","","","1"
"2020-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.5","","","","1"
"2020-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","136.8","","","","1"
"2020-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","137.1","","","","1"
"2020-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","137.5","","","","1"
"2020-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","138.0","","","","1"
"2020-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","138.5","","","","1"
"2021-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","139.1","","","","1"
"2021-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","139.4","","","","1"
"2021-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","139.5","","","","1"
"2021-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","139.9","","","","1"
"2021-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","140.3","","","","1"
"2021-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","140.7","","","","1"
"2021-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","141.4","","","","1"
"2021-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","142.3","","","","1"
"2021-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","143.1","","","","1"
"2021-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","143.9","","","","1"
"2021-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","144.5","","","","1"
"2021-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","145.2","","","","1"
"2022-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","146.3","","","","1"
"2022-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","147.3","","","","1"
"2022-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","148.9","","","","1"
"2022-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","149.4","","","","1"
"2022-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","151.1","","","","1"
"2022-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","152.2","","","","1"
"2022-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","152.2","","","","1"
"2022-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","152.1","","","","1"
"2022-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","152.8","","","","1"
"2022-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","153.7","","","","1"
"2022-11","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","154.3","","","","1"
"2022-12","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","154.2","","","","1"
"2023-01","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","154.9","","","","1"
"2023-02","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","155.2","","","","1"
"2023-03","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","155.4","","","","1"
"2023-04","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","156.0","","","","1"
"2023-05","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","156.1","","","","1"
"2023-06","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","156.5","","","","1"
"2023-07","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","157.2","","","","1"
"2023-08","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","158.2","","","","1"
"2023-09","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","158.6","","","","1"
"2023-10","Canada","2016A000011124","All-items","2002=100","17","units","0","v41690914","1.1","158.5","","","","1"
